imm8	AIMM8
imm16	AIMM16
imm32	AIMM32
imm64	AIMM64
imm3	AIMM3
rst	ARST
\(IY\+n\)	AINDEX_IY
\(IX\+n\)	AINDEX_IX
ss	AREG_SSCLASS
cc	AREG_CCCLASS
dd	AREG_DDCLASS
qq	AREG_QQCLASS
rr	AREG_RRCLASS
pp	AREG_PPCLASS
p	AREG_PCLASS
q	AREG_QCLASS
r	AREG_RCLASS
R	AREG_R
\(DE\)	AINDER_DE
\(BC\)	AINDER_BC
\(HL\)	AINDER_HL
\(SP\)	AINDER_SP
\(C\)	AINDER_C
\(IX\)	AINDER_IX
\(IY\)	AINDER_IY
SP	AREG_SP
HL	AREG_HL
DE	AREG_DE
IX	AREG_IX
IY	AREG_IY
AF'	AREG_AF_
AF	AREG_AF
A	AREG_A
F	AREG_F
\(n\)	ADIRECT
I	AREG_I
0	AZERO
sym	ASYM
string	ASTR
