# Tab 18, tabs 18, :set ts=18
# op	args	size	bytes	format	cpu
.SECTION	sym,string?	0	none	section	Z80,R800,GB80
.TEXT	none	0	none	text	Z80,R800,GB80
.DATA	none	0	none	data	Z80,R800,GB80
.BSS	none	0	none	bss	Z80,R800,GB80
.DB	imm8+	0	none	defb	Z80,R800,GB80
.DEFB	imm8+	0	none	defb	Z80,R800,GB80
.BYTE	imm8+	0	none	defb	Z80,R800,GB80
.DW	imm16+	0	none	defw	Z80,R800,GB80
.DEFW	imm16+	0	none	defw	Z80,R800,GB80
.SHORT	imm16+	0	none	defw	Z80,R800,GB80
.WORD	imm16+	0	none	defw	Z80,R800,GB80
.DD	imm32+	0	none	defd	Z80,R800,GB80
.DEFD	imm32+	0	none	defd	Z80,R800,GB80
.LONG	imm32+	0	none	defd	Z80,R800,GB80
.INT	imm16+	0	none	defd	Z80,R800,GB80
.DQ	imm64+	0	none	defq	Z80,R800,GB80
.DEFQ	imm64+	0	none	defq	Z80,R800,GB80
.EQU	sym,imm16	0	none	equ	Z80,R800,GB80
.EQU	imm16	0	none	equ	Z80,R800,GB80
=	imm16	0	none	equ	Z80,R800,GB80
.SIZE	sym,imm16	0	none	size	Z80,R800,GB80
.SIZE	imm16	0	none	size	Z80,R800,GB80
.COMM	sym,imm16	0	none	common	Z80,R800,GB80
.COMM	imm16	0	none	common	Z80,R800,GB80
.TYPE	sym,imm16	0	none	type	Z80,R800,GB80
.TYPE	imm16	0	none	type	Z80,R800,GB80
.GLOBL	sym+	0	none	global	Z80,R800,GB80
.PUBLIC	sym+	0	none	global	Z80,R800,GB80
.EXTERN	sym+	0	none	extrn	Z80,R800,GB80
.EXTRN	sym+	0	none	extrn	Z80,R800,GB80
.STRING	string+	0	none	string	Z80,R800,GB80
.ASCII	string+	0	none	ascii	Z80,R800,GB80
.ALIGN	imm16+	0	none	align	Z80,R800,GB80
.END	none	0	none	end	Z80,R800,GB80
.INCLUDE	string	0	none	include	Z80,R800,GB80



# p is any register from B, C, D, E, IXL, IXH, A
# q is any register from B, C, D, E, IYL, IYH, A
# r is any register from B, C, D, E, L, H, A
# dd is any register from BC, DE, HL, SP
# qq is any register from BC, DE, HL, AF
# pp is any register from BC, DE, IX, SP
# rr is any register from BC, DE, IY, SP
# cc is any flag from NZ, Z, NC, C, PO, PE, P, M
# ss is any flag from C, NC, Z, NZ

# 8 bit load group
LD	r,imm8	2	0x06	ld8	Z80,R800,GB80
LD	p,imm8	3	0xdd,0x06	ld8	Z80,R800
LD	q,imm8	3	0xfd,0x06	ld8	Z80,R800
LD	(HL),imm8	2	0x36	ld8	Z80,R800,GB80

LD	r,r	1	0x40	ld8	Z80,R800,GB80
LD	p,p	2	0xdd,0x40	ld8	Z80,R800
LD	q,q	2	0xfd,0x40	ld8	Z80,R800
LD	(HL),r	1	0x70	ld8	Z80,R800,GB80
LD	r,(HL)	1	0x46	ld8	Z80,R800,GB80

LD	r,(IX+n)	3	0xdd,0x46	idx	Z80,R800
LD	r,(IY+n)	3	0xfd,0x46	idx	Z80,R800
LD	(IX+n),r	3	0xdd,0x70	idx	Z80,R800
LD	(IY+n),r	3	0xfd,0x70	idx	Z80,R800

LD	(HL),imm8	2	0x36	ld8	Z80,R800,GB80
LD	(IX+n),imm8	4	0xdd,0x36	idx	Z80,R800
LD	(IY+n),imm8	4	0xfd,0x36	idx	Z80,R800

LD	A,(BC)	1	0x0a	noargs	Z80,R800,GB80
LD	A,(DE)	1	0x1a	noargs	Z80,R800,GB80
LD	A,(n)	3	0x3a	dir	Z80,R800

LD	(BC),A	1	0x2	noargs	Z80,R800,GB80
LD	(DE),A	1	0x12	noargs	Z80,R800,GB80
LD	(n),A	3	0x32	dir	Z80,R800

LD	A,(n)	3	0xfa	dir	GB80
LD	A,(HL+)	1	0x2a	ld8	GB80	#TODO
LD	A,(HL-)	1	0x3a	ld8	GB80	#TODO
LD	A,($FF00+n)	2	0xf0	dir	GB80	#TODO
LD	A,($FF00+C)	2	0xf2	dir	GB80	#TODO

LD	(n),A	3	0xea	dir	GB80
LD	(HL+),A	1	0x22	ld8	GB80	#TODO
LD	(HL-),A	1	0x32	ld8	GB80	#TODO
LD	($FF00+n),A	2	0xe0	dir	GB80	#TODO
LD	($FF00+C),A	2	0xe2	dir	GB80	#TODO

LD	A,I	2	0xed,0x57	noargs	Z80,R800
LD	A,R	2	0xed,0x5f	noargs	Z80,R800
LD	I,A	2	0xed,0x47	noargs	Z80,R800
LD	R,A	2	0xed,0x4f	noargs	Z80,R800

# 16 bit load group
LD	dd,imm16	3	0x01	ld16	Z80,R800,GB80
LD	IX,imm16	4	0xdd,0x21	ld16	Z80,R800
LD	IY,imm16	4	0xfd,0x21	ld16	Z80,R800

LD	HL,(n)	3	0x2a	ld16	Z80,R800,GB80
LD	dd,(n)	4	0xed,0x4b	ld16	Z80,R800
LD	IX,(n)	4	0xdd,0x2a	ld16	Z80,R800
LD	IY,(n)	4	0xfd,0x2a	ld16	Z80,R800

LD	(n),HL	3	0x22	ld16	Z80,R800,GB80
LD	(n),dd	4	0xed,0x43	ld16	Z80,R800
